Page,Beer,Brewer,Rating,Review,User,Place
0,Holy Mountain Midnight Still,Holy Mountain Brewing Company,3.9,"Draught@TCBW2022. More or less pitch black colour with a small beigeish brown head. Aroma is bigtime malts, some alcohol, bourbon, liquorice and mild syrupy tones. Flavour is ripe fruits, syrup, some alcohol, bourbon, some sweet malts, and mild vanilla tones. Thick and bold.",oh6gdx,"Seattle, Washington"
0,Holy Mountain / E9 Donnyllama Doppelsticke,Holy Mountain Brewing Company,4.0,"Draught@TCBW2022. Deep brown colour with a mediumsized lasting beige head that leaves some lace. Aroma is toasted, some chocolaty tones with rye and mild alcohol sweetness to it as well. Flavour, well, follows the aroma quite hand in hand as for the elements. Very smooth, very drinkable. Strong, but what the hell, quaffable!",oh6gdx,"Seattle, Washington"
0,TailGate Peanut Butter Milk Stout,TailGate Brewery,3.5,"Bottled@Bishops Arms Vasagatan, Stockholm. Black colour with a beigeish brown head. Aroma is peanut butter, some mild chocolaty and toffeeish tones. Flavour is peanut butter, some mild floral and nutty tones with mild chocolate too. Smooth and like a dessert.",oh6gdx,"Nashville, Tennessee"
1,Abandoned Rail Keep It Klassy,Abandoned Rail Brewing,3.3,"Poured from the tap @ Dageraad. Clear copper orange with small white head. Toffee malt, hint of vanilla and oak, feint phenols on the nose. Okay.",pictoman,"Penticton, British Columbia"
1,Lupia Herbal Nugget,Hijos de Rivera,4.2,De Hipercor. En copa shaker de Birrificio Pontino. Leyendo Refactoring. Pues grata sorpresa. No tiene nada de IPA aunque su nombre y eslogan puedan dar a entenderlo. Pero es una Lager industrial realmente bien hecha y adictiva. El nugget que lleva se le ve muy fresco,josanguapo,"A Coruña, Galicia"
1,Brau Brothers Ringneck Braun Ale,Brau Brothers Brewing Company,3.5,"Sample (thanks omhper!). Copper colour with a mediumsized beige head. Aroma is toffee, some toasted, sweet malty and a mild tartish wooden edge to it. Flavour is nutty, floral, some sweet malts, wood and mild toffeeish tones. Smooth and quite a tasty brown ale.",oh6gdx,"Marshall, Minnesota"
1,Revolution Double Dry-Hopped Brunch-Hero,"Revolution Brewing Company (IL, USA)",3.6,"Sample (thanks omhper!). Hazy golden colour, mediumsized foamy white head. Aroma is fruity, floral, some mild toffee as well as some mild nectary tones. Flavour is fruity, floral, some toffee and mild nectary tones. Zest in the finish.",oh6gdx,"Chicago, Illinois"
1,KCBC Z • O • M • B • I • E • S,KCBC (Kings County Brewers Collective),3.6,"Draught@TCBW2022. Slightly hazy pink colour, small white head. Aroma is some acidity, tropical fruits, vanilla and some cherries as well. Flavour is cherries, vanilla, some acidity, tartish fruits and mild wooden tones. In a way easy going, but at the same time interesting enough for us geeks.",oh6gdx,"Brooklyn, New York"
1,Black Beauty White Chocolate Dream,Black Beauty Brewery,3.1,"Pours hazy amber with a on finger, white head. Aroma is cocoa and lactose. Taste is chocolate and lactose. Finish mirrors the taste and aroma.",GregMooreNH,"Bowie, Maryland"
1,Holy Mountain Sacrament - Carménère,Holy Mountain Brewing Company,3.5,"Draught@TCBW2022. Reddish amber colour with a small pink head. Aroma is fruity, some floral and raspberry tones with a nice wooden tartness to it. Flavour is raspberries, some floral tones along with some wood as well.",oh6gdx,"Seattle, Washington"
1,Firestone Walker / Creature Comforts Mother's Milk,Firestone Walker Brewing (Duvel Moortgat),4.0,"Draught@SBWF2018. Black colour with a mediumsized foamy beigeish brown head .Aroma is chocolate, some molasses, spices and mild ashy elements. Flavour is roasted, chocolaty, some molasses, spices and mild warming alcohol to it. Silky smooth palate.",oh6gdx,"Paso Robles, California"
1,Firestone Walker Walker's Cuvee,Firestone Walker Brewing (Duvel Moortgat),3.0,"Draught@SBWF2018. Hazy pale amber colour with a small white head. Aroma is wood, some citrus, mild acidic tones with some herbs. Flavour is citrus, some wood and mild acidic tartness to it. A bit sharp on the edges",oh6gdx,"Paso Robles, California"
1,KCBC The Ravenmaster,KCBC (Kings County Brewers Collective),3.7,"Draught@TCBW2022. Black colour with a small beigeish brown head. Aroma is liquorice, some toasted tones with mild ashes and some syrupy tones and alcohol. Flavour is quite boozy with some ashes, roasted malts and mild liquorice. Very much on the roasted/ashy side of things. Nothing that exciting.",oh6gdx,"Brooklyn, New York"
1,KCBC Penguins Take Manhattan,KCBC (Kings County Brewers Collective),3.4,"Draught@TCBW2022. Hazy yellowish golden colour with a small white head. Aroma is grapefruit, soem zesty tones, mild bready and some oaty tones. Flavour is fruity, zesty, some biscuity and bready crispness. Smooth, and good easy going session beer.",oh6gdx,"Brooklyn, New York"
1,Holy Mountain / Oxbow Consorting With The Devil,Holy Mountain Brewing Company,3.2,"Draught@TCBW2022. Golden colour with a small white head. Aroma is fruity, vinegary some mild honey and mild herbal tones. Flavour si fruity, mild vinegar, some dry grassy and herbal tones. Kind of bretty earth to it too. A bit strange, and maybe too young to come to it's full best.",oh6gdx,"Seattle, Washington"
1,Holy Mountain Midnight Still,Holy Mountain Brewing Company,3.9,"Draught@TCBW2022. More or less pitch black colour with a small beigeish brown head. Aroma is bigtime malts, some alcohol, bourbon, liquorice and mild syrupy tones. Flavour is ripe fruits, syrup, some alcohol, bourbon, some sweet malts, and mild vanilla tones. Thick and bold.",oh6gdx,"Seattle, Washington"
1,Holy Mountain / E9 Donnyllama Doppelsticke,Holy Mountain Brewing Company,4.0,"Draught@TCBW2022. Deep brown colour with a mediumsized lasting beige head that leaves some lace. Aroma is toasted, some chocolaty tones with rye and mild alcohol sweetness to it as well. Flavour, well, follows the aroma quite hand in hand as for the elements. Very smooth, very drinkable. Strong, but what the hell, quaffable!",oh6gdx,"Seattle, Washington"
1,TailGate Peanut Butter Milk Stout,TailGate Brewery,3.5,"Bottled@Bishops Arms Vasagatan, Stockholm. Black colour with a beigeish brown head. Aroma is peanut butter, some mild chocolaty and toffeeish tones. Flavour is peanut butter, some mild floral and nutty tones with mild chocolate too. Smooth and like a dessert.",oh6gdx,"Nashville, Tennessee"
2,Mikkeller San Diego Tiger & Chicken,Mikkeller San Diego,3.6,"Can. Hazy orangeish golden colour with a mediumsized white foamy head, which leaves some lace. Aroma is sweet malts, some zesty, citrusy and mild dried fruity tones along with tropical fruits. Flavour is nectar, some zest, mild caramel malts with some alcohol and a bit fudgey tones as well. Somewhat bitter, but the sweetness sticks to it.",oh6gdx,"San Diego, California"
2,Other Half Watching Grass Grow,Other Half Brewing,3.3,"Tap. Pours clear orange, small off white head, good lacing. Aroma is grain, roast, noble hop. Flaky is light plus sweet, light bitter. Medium body",bytemesis,"Brooklyn, New York"
2,Mikkeller San Diego Dawn Speak,Mikkeller San Diego,3.4,"Can. Golden colour with a small white head, which leaves some lace. Aroma is citrus, pineapples, some sweet malts and mild sprucetips and a bit pine to it as well. Flavour is rather similar with a nice bitterness to it, which also stays in the aftertaste.",oh6gdx,"San Diego, California"
2,Lubrow Zuzie,Lubrow,3.6,"jasno złote, klarowne. lekkie gorzkie pijalne . Lubrow jak zwykle dowozi. Sprawdź czy oddaje",MaltoseLees58,"Borcz, Pomeranian"
2,Bad Apple Black Monday Dunkelweizen,Bad Apple Brewing Company,3.6,"This Dunkle poured a deep dark reddish brown with a huge, creamy brown head. Medium lacing. Scents include sweet roasted malt, mild coffee, licorice, and cocoa. First swig was a wee bit thin but delicious. Flavours of coffee, roasted malt and brown sugar are most prominent. Finish is medium coffee and lightly sweet with roasted malts lingering.",Tessic,"Zurich, Ontario"
2,Other Half / WeldWerks Blueberry Crunchee,Other Half Brewing,3.7,"Tap. Pours unclear purple small off white head, decent lacing. Aroma is blueberries, cinnamon, maple, vanilla. Flavy is fairly sweet,, hint of tartness. Medium body. Gimmicky, but good.",bytemesis,"Brooklyn, New York"
2,Westbrook India Pale Ale,Westbrook Brewing,3.6,"Can at Henry's in Charleston. Big tropical fruit in the nose and mouth, sticky malt and while nothing earth-shattering, definitely a quality IPA.",ryecatcher,"Mount Pleasant, South Carolina"
2,Refined Fool You should Check Out My Etsy Shop,Refined Fool Brewing Co.,3.5,"Sharp aroma, tangy citrus, and fruit. Grassy, slightly tart cereals, hints of sour dough. Crisp and clean, medium bitter somewhat pithy, with a bitter grassy finish.",robinvboyer,"Sarnia, Ontario"
2,Mikkeller San Diego / Mikerphone Afternoon Delite,Mikkeller San Diego,3.7,"Can. Pitch black colour with a small deep brown colour. Aroma is chocolate, coconut, mild roast, syrup, alcohol and some fudgeish and mild dried fruity tones. Flavour is chocolate, coconut, some alcohol, fudge, sweet syrupy and alcohol tones with some roasted tones.",oh6gdx,"San Diego, California"
2,Estrella Damm (5.4%),Grupo Damm,3.3,"Etwas stärker, bisschen blumig, bisschen malzig, etwas schwerfällig, nicht besonders süffig, kann man trinken.",legen,"Barcelona, Catalonia"
2,Commonhouse Aleworks Irish Red Ale,Commonhouse Aleworks,3.0,"Had this at a restaurant by Folly Beach while we were down in SC for the week. Reddish brown pour, medium head with okay retention biscuits, toasty malt and touch of dried fruit. Nothing remarkable but drinkable.",ryecatcher,"North Charleston, South Carolina"
2,Rauw Stout of the Box,Rauw Brouwers,3.8,"Deep dark-brown pour with beige head; decent retention. Aroma is less strong than expected; mainly chocolate and caramel. Taste is medium sweet with a mild bitter sense, and a dark-bitter aftertaste; chocolate, lactose, and mild coffee tones. Full body, mouth filling and sticky, bit syrupy feel. Nice imperial pastry stout, as a lava cake with dark chocolate and some mocca, but with a not very explicit fragrance; more on the chocolate side than caramel.",DijkBier,"Amsterdam, North Holland"
2,Other Half Green Flowers,Other Half Brewing,3.7,"Tap. Mostly clear yellow, small white head, good lacing. Aroma is dank, pine, pot, grapefruit. Flaky is light sweet, light plus bitter. Light body.",bytemesis,"Brooklyn, New York"
2,Oskar Blues Neon Rodeo,Oskar Blues Brewery (Monster Beverage Corp),3.6,Draft at brewery. Pours dark golden with a white head. Leaves trace lacing in the glass. Definitely get the tartness as well as the raspberry. On the dry side of things. Has some lime as well. Not bad.,DiarmaidBHK,"Longmont, Colorado"
2,Jaws Brewery Beloyarskij Berliner,Jaws Brewery,3.6,"well, let it be berliner... usually such creations are called gose... the aroma: vegetable and herbal, hints of pickled cucumber, brine, dill, spices... the taste: vegetable and floral, notes of brine, pickled cucumber, dill, sour milk... the aftertaste: sour, tart...",sharkydodson,"Zarechnyj, Sverdlovsk Oblast"
3,Gino's Superior West Coast IPA,Gino's Brewing Company,2.6,Golden with a medium sized white head that left good lacing. Biter and dry with rough citric hops. Long finish. Medium body.,FROTHINGSLOSH,"Chicago, Illinois"
3,Gino's The Writing On The Walls,Gino's Brewing Company,2.2,"Gold with a medium sized white head. Dry, perfumey and a bit citric. Medium finish and body.",FROTHINGSLOSH,"Chicago, Illinois"
3,Torrside Sto Lat,Torrside Brewing,3.7,"Cask at Torrside tap. Pours milky pale yellow with white foam. Aroma: mellow smoke, some citrus, lemon, light yeasty, mild spices. Taste: light sweet with moderate bitterness. More smoke, citrus, light grassy. Dry on the palate. Light to medium body with moderate carbonation. An underappreciated style, my cup of tea.",Cheeseboard,"New Mills, Derbyshire"
3,Gino's Checkered Past Hefeweizen,Gino's Brewing Company,3.5,Hazy yellow with a medium sized white head. Yeasty with bread crust and a moderate orange presence. Long finish. Medium body.,FROTHINGSLOSH,"Chicago, Illinois"
3,Gino's Original Helles Lager,Gino's Brewing Company,1.5,Yellow gold with a large foamy white head. Buttery and faintly bitter. Medium finish. Light body.,FROTHINGSLOSH,"Chicago, Illinois"
3,Gino's Kolsch,Gino's Brewing Company,2.9,Golden with a medium sized white head. Sweetish and yeasty with faint citrus and fruit. Medium finish and body. Surprisingly pleasant.,FROTHINGSLOSH,"Chicago, Illinois"
3,Hayles Badgers Bottom Sweet Cider,Hayles Cider,3.0,"500ml bottle from Favourite Beers. 5.6%. Slightly hazed golden colour, no head and aroma of baked apple, caramel. Taste is sweet, apple, fleshy, baked apple, with some caramel and mellowed acidity. Medium bodied, low carbonation, sweet finish. Quite OK.",danlo,"Cheltenham, Gloucestershire"
3,Alternate Ending Vaya Con Dios,Alternate Ending Beer Co.,3.5,Medium gold pour. Thin foam. Spotted lace on the glass. Orange and bark from tree flavor with citrus pith or rind on palate. Easy body and medium carbonation.,Susie33,"Aberdeen Township, New Jersey"
3,Other Half BRKFST,Other Half Brewing,3.7,"Tap. Pours hazy yellow, medium white head, good lacing. Aroma is rich wheat, banana, bubblegum, dust. Flavor is light sweet, minimal bitterness. Rich hef vibes. Light body. Quite nice",bytemesis,"Brooklyn, New York"
3,Other Half Tall Kiwi,Other Half Brewing,3.7,"Tap. Pours cloudy yellow, medium white head, good lacing. Aroma is armpits, melon, guava. Flaky is light sweet, light bitter. Medium body.",bytemesis,"Brooklyn, New York"
3,Baron Nervous Energy,Baron Brewing,3.8,"Can from Beerfly, Bedford. Pours murky yellow orange with white foam. Aroma: stone fruits, light tropical tones. Taste: moderate sweet with nectarine, peach, lemon, lime. Grassy finish. Medium body with fine carbonation.",Cheeseboard,"Great Hormead, Hertfordshire"
3,Track In the Open,Track Brewing Co.,4.0,"440ml can. Murky golden, white head. Aroma of peach, grape, lychee. Taste of peaches, grape, lychee, papaya, gooseberry and a light vinous finish, low bitterness. Light-medium bodied, very soft. Superb pale.",LazyPyro,"Manchester, Greater Manchester"
3,Dewey Twist The Moon,Dewey Beer Company,3.7,"Small cream colored head, fair retention, spotty lace. OJ appearance. Nose is pineapple and citrus, mild. Body is medium, soft carbo, little slick. Orange citrus up front, pineapple and some yeasty notes, hint tropical, slight mango and lope. Okay quaff. 16oz can from statelineliquors.",sloth,"Dewey Beach, Delaware"
3,PINTA Dry Delivery,Browar PINTA,4.1,Słomkowe z długo utrzymującą się pianą. W zapachu czuć goryczkę. W smaku również dominuje goryczka. Piwo bardzo pijalne.,Fafnoscie,"Wieprz, Silesian"
3,Ross On Wye Newton Wonder Cider,Ross On Wye Cider & Perry (Broome Farm),3.4,"500ml bottle from Ross on Wye. Sparkling, pale golden colour, fizzy white foam head that quickly dissipates away and aroma of apple, fleshy, funk hint. Taste is sweet, fruity, apple, some fudge, caramel notes and tart acidity. Medium bodied, spritzy carbonation, drying fleshy acidic finish. Quite drinkable.",danlo,"Ross On Wye, Herefordshire"
4,Bespoke Beware the Bear,Bespoke Brewing Co,3.3,Can at holiday cottage. Deep chestnut brown colour with an off white head. Aroma and taste are malty and caramel sweet. Fairly rich body.,Mr_Pink_152,"Littledean, Gloucestershire"
4,Black Horizon French Toast Farce,Black Horizon Brewing Company,2.8,"Orange-honey color with a medium sized white head. Toasty malt, caramel, cinnamon and almost chicory. Long finish. Medium body.",FROTHINGSLOSH,"Willowbrook, Illinois"
4,Flying Boats Red Cap Peanut Butter Stout,Flying Boats Brewing,3.6,"2024-09-21. Black body, tan head. 3++ Aroma of toasty roast peanuts, hints at Reese peanut butter cup filling. Flavour has similar peanut character, sweetish then very dry, touches of roast. Average to light bodied palate, moderate carbonation. Pretty decent but would be better with a more robust base IMHO. Okay. 7/4/7/3/14-15",jercraigs,"Dieppe, New Brunswick"
4,Mikkeller San Diego / Pariah Them 20's,Mikkeller San Diego,3.6,"Can. Yellowish golden colour with a big foamy white head, which leaves some lace. Aroma is wheat, some slight citrus, mild funk, some floral and fruity tones with yeast being evident too. Flavour is citrus, some fruity and spicy yeast with mild floral and some mild wooden tones. Nice yeasty, fruity and floral tones in the finish and aftertaste with a mellow funk to it all.",oh6gdx,"San Diego, California"
4,Lost Villages The Prince Of Wales,Lost Villages Brewery,3.6,"2024-09-21. Lightly hazy yellow body, modest white head. 3+ Aroma is lightly alcoholic, white wine like fruit note, lychee touches. Flavour is fruity, tropical fruit and lychee, grape, lightly alcoholic. Average bodied palate, moderate carbonation. Enjoyable. 7/3/7/3/16 Can from Lost Villages, Long Sault, ON.",jercraigs,"Long Sault, Ontario"
4,Black Horizon Surreal Expanse,Black Horizon Brewing Company,3.2,Orange with a large white head. Starts dryish then turns tangy with passion fruit and guava. Long finish. Medium body.,FROTHINGSLOSH,"Willowbrook, Illinois"
4,Mikkeller San Diego Aloha Fridays,Mikkeller San Diego,3.4,"Can. Amber colour with a small off-white head. Aroma is floral, some toasted, pineapple and mild salty tones with a bit of wood too. Flavour is citrus, some salty tones with mild pineapple, rosehip, mild aloe vera and a bit zesty tones with some mild passionfruit and strange tarty/sour elements to it. A bit on the obscure side of things, but still really nicely drinkable.",oh6gdx,"San Diego, California"
4,Oskar Blues Lyons & the Loon,Oskar Blues Brewery (Monster Beverage Corp),4.2,"Draft at brewery. Pours golden with a white head. Leaves some lacing in the glass. Nice blend of wood, white wine, and Brett. Nicely balanced. A pleasure to drink.",DiarmaidBHK,"Longmont, Colorado"
4,3 Fonteinen Druif: Gewürztraminer,Brouwerij 3 Fonteinen,3.6,"2024-09-21. Very lightly hazy body, quick head. Aroma is lightly funky, lightly vinous and earthy. Flavour is moderately sour and acidic, lightly vinous and barnyard note. Grape in the finish? Average bodied palate, soft carbonation. Enjoyable. 7/3/7/3/16 Bottle from Gleemer, Toronto, ON.",jercraigs,"Beersel, Flemish Brabant"
4,Fairweather Garden Grave,Fairweather Brewing Co.,3.0,"2024-09-21. Lightly hazy orange body, modest white head. 3+ Aroma has a big peach character up front, light funk, peach pits. Flavour is similar, peach, a bit funky, vanilla and black tea notes detract. Gains a peach schnapps quality as it goes. Average bodied palate, soft carbonation. Like the peach forward first impression much more than the later notes. 6-7/3/5-6/3/13 Can shared by Mike.",jercraigs,"Hamilton, Ontario"
4,Black Horizon Oktoberfarce,Black Horizon Brewing Company,3.0,"Honey color with a large foamy head. Tangy and sweet with notes of caramel, citrus and perfume. Long finish. Medium body.",FROTHINGSLOSH,"Willowbrook, Illinois"
4,Auval Cuvée Madeleine,Brasserie Auval Brewing Co.,3.6,"2024-09-21. Very lightly hazy yellow body, modest white head. Aroma is grassy, hoppy, lightly funky. Flavour has funky pale malt, light fruit, hoppy, lemon notes. Average bodied palate, moderate carbonation. 7/3/7/3/16+ Bottle from Birreria Volo, Toronto, ON.",jercraigs,"Percé, Quebec"
4,Black Horizon Horizonte Azul,Black Horizon Brewing Company,2.0,"golden with a medium sized white head. Tangy, corny and citric. Medium finish and body.",FROTHINGSLOSH,"Willowbrook, Illinois"
4,BreWskey Titan,BreWskey - Brasserie Artisanale,3.4,"2024-09-21. Very hazy yellow body small white head. Aroma of hop haze, muted fruit. Flavour has a lot of fruity hops, tropical fruit notes. Hop haze. Average bodied palate, moderate carbonation. 7/3/6-7/3/14 Can from Brewskey, Montreal, QC.",jercraigs,"Montréal, Quebec"
4,Black Horizon Overflowing Crypt,Black Horizon Brewing Company,3.5,"Black with a large soapy brown head that faded quickly. Toasty with vanilla, chocolate and a boozy presence. Long finish. Moderately full bodied.",FROTHINGSLOSH,"Willowbrook, Illinois"
5,Arvon Full of Hops,Arvon Brewing Company,3.6,"Cloudy pale dirty orange-brown body, thick puffy off-white head. Rindy and herbal but not sweet; pepper and fennel. Pretty good but not a standout.",Silphium,"Grand Rapids, Michigan"
5,Flying Boats Dixie Clipper IPA,Flying Boats Brewing,3.4,"2024-09-21. Orange amber body modest beige head. Aroma is modestly hoppy, light fruit and malt. Flavour is mildly bitter throughout, hop haze, relatively mild overall but also not too rough. Average bodied palate, moderate carbonation. Enjoyable. 7/3/7/3/14 Can from Flying Boats, Dieppe, NB.",jercraigs,"Dieppe, New Brunswick"
5,Fairweather Feast Bier,Fairweather Brewing Co.,3.5,"2024-09-21. Crisp yellow body, small off white head. 3+ Aroma of cereal pale malt with a lightly earthy undertone. Flavour is similar, lightly earthy malt. Average bodied palate, soft carbonation. Okay. 7/3/7/3/15 Can shared by Mike.",jercraigs,"Hamilton, Ontario"
5,Test Batches Homestead,Test Batches Brewery,3.5,"2024-09-21. Crisp yellow body, small off-white head. Aroma is mild, light pale malt, whisper of fruit. Flavour of pale malt, lightly bready, lightly bitter. Average bodied palate, moderate carbonation. 7/3/7/3/14-15 Can from Test Batches, Midland, ON.",jercraigs,"Midland, Ontario"
5,Arvon Stray,Arvon Brewing Company,3.6,"Medium bright cloudy orange body, medium/thick puffy cream head. Aroma tropical juice and funky notes of citrus rind, sweat, lychee, and carambola. Body on the dry side but soft and delicate with lychee, peach, and kumquat rind. Solid.",Silphium,"Grand Rapids, Michigan"
5,Other Half Weizenbock Weissbier,Other Half Brewing,4.0,"Tap. Pours unclear chestnut, small beige head, decent lacing. Aroma is wheat, banana, clove, roast, blackjack bubblegum. Flavor is medium sweet, light plus bitter. Medium body. Nice. There really should be more weizenbocks in the world.",bytemesis,"Brooklyn, New York"
5,Turncoat Pillow Fort,Turncoat Brewing,3.7,"2024-09-08. Hazy orange body, foamy off-white head. 3+ Aroma is relatively mild but pleasant and quaffable, mild fruity hops, citrus and tropical fruit. Flavour is moderately bitter, light citrus. Average bodied palate, moderate carbonation. 7/4/7/3/15-16 Can at Vineland Estates, Vineland, ON.",jercraigs,"St. Catharines, Ontario"
5,Arvon Trace,Arvon Brewing Company,3.8,"Cloudy bright medium orange body, medium/thin dense cream head. Big, funky nose and body with a medley of grape, kumquat, melon, passionfruit, and bubblegum.",Silphium,"Grand Rapids, Michigan"
5,Russian River Propitiation,Russian River Brewing Company,3.9,"Sample during the ""Orange You Glad to CA Wave of IPAs? 02"" event on 08/25/2024.",Dogbrick,"Santa Rosa, California"
5,Russian River Jannemie Saison,Russian River Brewing Company,3.9,"Sample during the ""Orange You Glad to CA Wave of IPAs? 02"" event on 08/25/2024.",Dogbrick,"Santa Rosa, California"
5,Arvon Sway,Arvon Brewing Company,3.6,"Cloudy medium orange body, medium/thin dense cream head. Crisp, fairly dry, with herbal/leafy and berry/grapeskin notes primarily; stone fruits and melon become more apparent as the beer warms. Overall it's like a dry grape bubblegum.",Silphium,"Grand Rapids, Michigan"
5,Other Half All N/A Everything,Other Half Brewing,3.6,"Tap. Pours hazy yellow, large fluffy white head, good lacing. Aroma is a bit grassy, citrus. Flavor is light sweet, light bitter, nice citrus hop notes. No wortiness. Light body. Easy one of, if not the best, na beer i have tried.",bytemesis,"Brooklyn, New York"
5,Russian River RnD Series: Brett Beer #3,Russian River Brewing Company,3.9,"Sample during the ""Orange You Glad to CA Wave of IPAs? 02"" event on 08/25/2024.",Dogbrick,"Santa Rosa, California"
5,Russian River RnD Series: Brett Beer #2,Russian River Brewing Company,3.9,"Sample during the ""Orange You Glad to CA Wave of IPAs? 02"" event on 08/25/2024.",Dogbrick,"Santa Rosa, California"
5,Rivington Flow Series 4 - Death Valley To Denali,Rivington Brewing Company,3.8,"Keg at Magnet Freehouse, Stockport. Pours near clear gold with white foam. Aroma: grapefruit, melon, papaya, grass. Taste: moderate sweet & bitter, clean, grapefruit, pine. Medium body with fine carbonation",Cheeseboard,"Anderton, Lancashire"
6,Brouwerij West Bounce,Brouwerij West,3.8,"Sample during the ""Orange You Glad to CA Wave of IPAs? 02"" event on 08/25/2024.",Dogbrick,"Los Angeles, California"
6,The Answer Incognito Browser,The Answer Brewpub,4.2,"Draft at Out of the Barrel. Pours very deep brown with brown head. Aroma of licorice, roast, lychee, and coffee. Flavor is rich molasses, whiskey and powdered chocolate. Viscous. Moderate dark bitter finish and slightly dry.",Zymurgeist2,"Richmond, Virginia"
6,Moersleutel Could You Calculate the Rotation,Moersleutel,3.6,Nice soft pillow fluffy ipa. Little bitterness to it. But enjoyable to drink. Guild box,bdleedahl,"Alkmaar, North Holland"
6,Glazen Toren Ondineke Oilsjtersen Tripel,Kleinbrouwerij De Glazen Toren,3.6,"Hazy gold with a large foamy white head that left great lacing. Yeasty, musty and bready with faint golden fruit and booziness. Long finish. Moderately full bodied.",FROTHINGSLOSH,"Erpe-Mere, East Flanders"
6,Brothership Radiant Energy,Brothership Brewing,3.8,"Cloudy orange body, big pillowy cream head. Dank nose with a neutral stone fruit backdrop. Soft, creamy body with stone fruits, melon, custard, light citrus, and an assertive black tea tannin/peppery dankness in the finish. Nice complexity and mouthfeel.",Silphium,"Mokena, Illinois"
6,Skeleton Key Low-Flying Duck,Skeleton Key Brewery,3.2,"Hazy yellow with a medium sized white head. Yeasty, wheaty and citric. Medium finish and body.",FROTHINGSLOSH,"Woodridge, Illinois"
